041	"< 5 commits"
000	""
005	"Markus Ketterl"
008	"Simon Hötten"
012	"Christian Greweling"
014	"Per Pascal Grube"
020	"Rute Santos"
024	"msutton"
024	"Sven Stauber"
026	"David Horwitz"
026	"Dennis Boeckmann"
026	"Martin Abel"
028	"rubenrua"
037	"Matjaz Rihtar"
039	"Edmore Moyo"
053	"Karen Dolan"
055	"Benjamin Wulff"
057	"Tobias M Schiebeck"
070	"Henning S"
083	"Rubén Pérez"
085	"Waldemar Smirnow"
089	"Michael Stypa"
096	"Markus Moorman"
102	"James Perrin"
129	"Christoph Driessen"
139	"Xavier Butty"
152	"Adam McKenzie"
182	"Basil Brunner"
358	"Rüdiger Rolf"
403	"Tobias Wunden"
526	"Lars Kiesow"
536	"Lukas Rohner"
646	"Denis Meyer"
1188	"Greg Logan"
