	#838	2016/03/05	"Lars Kiesow"	"Fix several typos in the documentation"	lkiesow/matterhorn	documentation-typos	r/2.1.x	
	#837	2016/02/29	"James Perrin"	"MH-11330, make sure dc:created is updated if event …"	jperrin/matterhorn	t/MH-11330-update-created-when…	r/1.6.x	"Karen Dolan (1)"
D	#836	2016/02/26	"James Perrin"	"MH-11330, Correctly handle updating of MP start date and …"	jperrin/matterhorn	t/MH-11330-update-mp-start-dur…	r/1.6.x	
M	#835	2016/02/26	"Tobias M Schiebeck"	"MH-11334 fixing NPE in userdirectory"	opencast-community/matterhorn	t/MH-11334-NPE-userdirectory	develop	"Rüdiger Rolf (3)"
M	#834	2016/02/25	"Sven Stauber"	"t/MH-11332 Document acceptance criteria for proposals"	staubesv/switch-opencast-fork	t/MH-11332-document-acceptance…	r/2.1.x	"Lars Kiesow (8)"
D	#833	2016/02/25	"Sven Stauber"	"t/MH-11332 Document acceptance criteria for proposals"	staubesv/switch-opencast-fork	t/MH-11332-document-acceptance…	r/2.1.x	
M	#832	2016/02/25	"Sven Stauber"	"t/MH-11331 Document Proposal Documentation Pull Request …"	staubesv/switch-opencast-fork	t/MH-11331-proposal-documentat…	r/2.1.x	"Lars Kiesow (8)"
	#831	2016/02/24	"Karen Dolan"	"MH-11327 clean up IngestImpl module dependencies"	kdolan/matterhorn-opencast	t/MH-11327-cleanup-ingestImpl-…	develop	"Lukas Rohner (3)"
D	#830	2016/02/24	"Tobias M Schiebeck"	"MH-11326 DDL-Updates"	opencast-community/matterhorn	t/MH-11326-JPA-DDL-update	develop	
M	#829	2016/02/23	"Karen Dolan"	"MH-11324 ensure local job is updated after updateJob"	kdolan/matterhorn-opencast	t/MH-11324-JobUpdateJob	develop	"Rüdiger Rolf (10)"
M	#828	2016/02/22	"Basil Brunner"	"MH-10852 [Bugfix] Make sure job reference is updated before …"	entwinemedia/matterhorn	pr/MH-10852-bugfix	develop	"Rüdiger Rolf (11)"
✔	#827	2016/02/21	"Lars Kiesow"	"MH-11128, Fix SilenceDetector Documentation"	lkiesow/matterhorn	t/MH-11128-silence-detection-d…	r/2.1.x	"Greg Logan (12)"
✔	#826	2016/02/21	"Lars Kiesow"	"MH-11323, Update Workflow Documentation"	lkiesow/matterhorn	t/MH-11323-workflow-docs	r/2.1.x	
	#825	2016/02/19	"Lars Kiesow"	"MH-11322, Update WebM Profiles"	lkiesow/matterhorn	t/MH-11322-webm-profiles	develop	
	#824	2016/02/19	"Lars Kiesow"	"MH-11321, Fix default workflow configuration panel"	lkiesow/matterhorn	t/MH-11321-default-workflow-cf…	r/2.1.x	
	#823	2016/02/19	"Lars Kiesow"	"MH-11320, Missing Image Preparation for OCR"	lkiesow/matterhorn	t/MH-11320-img-encoding-for-oc…	r/2.1.x	
	#822	2016/02/19	"Lars Kiesow"	"MH-11319, Media Module Uses Second Attachment as Preview"	lkiesow/matterhorn	t/MH-11319-media-module-previe…	r/2.1.x	
M	#821	2016/02/18	"Greg Logan"	"MH-11222: Remove System.*.print* from codebase"	greg_logan/matterhorn	t/MH-11222-system-out-println-…	r/2.1.x	"Lars Kiesow (16)"
M	#820	2016/02/18	"Greg Logan"	"MH-11222: Remove System.*.print* from codebase"	greg_logan/matterhorn	t/MH-11222-system-out-println-…	develop	"Lars Kiesow (15)"
	#819	2016/02/18	"Lars Kiesow"	"MH-11313, Update Parallel Encode Profiles"	lkiesow/matterhorn	f/MH-11313-update-parallel-enc…	develop	
✔	#818	2016/02/18	"Lars Kiesow"	"MH-11312, Fix Encode WOH Documentation"	lkiesow/matterhorn	t/MH-11312-encode-woh-docs	develop	
	#817	2016/02/18	"Denis Meyer"	"MH-11286 Update player dependencies"	CallToPower/matterhorn	t/MH-11286-update-player-depen…	develop	"Basil Brunner (16)"
M	#816	2016/02/18	"Basil Brunner"	"Remove file that got merged into wrong location"	myniva/matterhorn	pr/remove-unused-file	develop	"Lars Kiesow (16)"
M	#815	2016/02/17	"Sven Stauber"	"MH-11311 Use existing encoding profiles in WOH …"	staubesv/switch-opencast	t/MH-11311-use-existing-encodi…	develop	"Rüdiger Rolf (16)"
M	#814	2016/02/17	"Sven Stauber"	"MH-11310 Document encoding profiles used by WOH …"	staubesv/switch-opencast	t/MH-11310-document-encoding-p…	develop	"Rüdiger Rolf (16)"
	#813	2016/02/17	"Michael Stypa"	"MH-11309 open player links in new tab"	doofy/matterhorn	t/MH-11309-event-details-open-…	r/2.1.x	
M	#812	2016/02/17	"Lars Kiesow"	"MH-11289, Fixed Encoding Profile names"	lkiesow/matterhorn	t/MH-11289-encoding-profile-na…	develop	"Greg Logan (17)"
M	#811	2016/02/16	"Lars Kiesow"	"Nexus Documentation And Settings"	lkiesow/matterhorn	nexus-docs	r/2.1.x	"Ruben Perez Vazquez (18)"
	#810	2016/02/16	"Lars Kiesow"	"MH-11229, Fix WOH Unit Test Sleeps"	lkiesow/matterhorn	t/MH-11229-woh-tests	r/2.1.x	"Basil Brunner (17)"
D	#809	2016/02/15	"Lars Kiesow"	"MH-11229, Fix SoX WOH Unit Test Sleeps"	lkiesow/matterhorn	t/MH-11229-sox-woh-tests	r/2.1.x	
	#808	2016/02/15	"Lars Kiesow"	"MH-11307, Distribution Service Location"	lkiesow/matterhorn	t/MH-11307-distribution-servic…	r/2.1.x	"Greg Logan (18)"
M	#807	2016/02/15	"Lars Kiesow"	"Opencast Infrastructure Documentation"	lkiesow/matterhorn	infra-docs	r/2.1.x	"Ruben Perez Vazquez (18)"
	#806	2016/02/12	"Rute Santos"	"MH-11306-job-dispatch-order (develop)"	opencast-community/matterhorn	t/MH-11306-job-dispatch-order-…	develop	"Basil Brunner (17)"
D	#805	2016/02/12	"Rute Santos"	"MH-11306-job-dispatch-order (develop)"	opencast-community/matterhorn	t/MH-11306-job-dispatch-order	develop	
	#804	2016/02/12	"Rute Santos"	MH-11306-job-dispatch-order-1.7.x	opencast-community/matterhorn	t/MH-11306-job-dispatch-order-…	r/1.7.x	
